staff_id,name,role,outlet_id,hire_date,monthly_salary,status
STF001,Putri Astuti,Barista,OUT001,2019-02-09,2914000,active
STF002,Arif Saputra,Kasir,OUT001,2020-09-02,3079000,active
STF003,Reza Susilo,Barista,OUT001,2020-08-29,3240000,resigned
STF004,Joko Andriani,Kasir,OUT001,2019-06-13,2983000,active
STF005,Wahyu Putri,Barista,OUT001,2020-02-26,3162000,active
STF006,Mira Permata,Barista,OUT001,2023-07-23,3435000,active
STF007,Diana Wibowo,Kasir,OUT002,2021-08-27,2883000,active
STF008,Lisa Kusuma,Kasir,OUT002,2023-08-16,2812000,active
STF009,Faisal Setiawan,Barista,OUT002,2023-08-14,3485000,active
STF010,Lisa Sari,Kasir,OUT002,2021-12-28,2881000,resigned
STF011,Maya Pratama,Supervisor,OUT002,2019-06-08,5463000,active
STF012,Hafiz Wibowo,Barista,OUT002,2024-02-29,3158000,active
STF013,Naufal Permata,Barista,OUT003,2021-07-21,3028000,active
STF014,Doni Pratama,Barista,OUT003,2022-09-06,3085000,active
STF015,Tiara Hartono,Barista,OUT003,2022-12-09,3456000,active
STF016,Salma Kartika,Supervisor,OUT003,2022-09-18,4556000,resigned
STF017,Bambang Kusuma,Barista,OUT003,2021-12-23,2839000,active
STF018,Dimas Andriani,Barista,OUT003,2022-07-08,3246000,active
STF019,Mega Lestari,Barista,OUT004,2023-04-27,3390000,active
STF020,Ahmad Saputra,Barista,OUT004,2023-11-22,2801000,active
STF021,Lisa Astuti,Barista,OUT004,2021-03-18,3172000,resigned
STF022,Tegar Wibowo,Manager,OUT004,2022-09-14,7285000,active
STF023,Maya Maulana,Supervisor,OUT004,2022-05-15,5538000,active
STF024,Dimas Setiawan,Barista,OUT004,2023-07-07,3102000,active
STF025,Sari Indah,Kasir,OUT005,2023-04-02,3146000,active
STF026,Tika Wulandari,Kasir,OUT005,2022-05-17,3007000,active
STF027,Siti Marlina,Manager,OUT005,2022-03-21,6860000,active
STF028,Bayu Wulandari,Barista,OUT005,2022-08-12,3276000,resigned
STF029,Tegar Wijaya,Barista,OUT005,2024-09-24,3284000,active
STF030,Lisa Maulana,Supervisor,OUT005,2020-11-26,5849000,resigned
STF031,Surya Putri,Barista,OUT006,2022-10-04,2895000,active
STF032,Tiara Sari,Kasir,OUT006,2022-06-25,2915000,active
STF033,Lina Santoso,Kasir,OUT006,2019-07-09,2925000,active
STF034,Diah Permata,Barista,OUT006,2019-10-26,3266000,active
STF035,Rian Susilo,Barista,OUT006,2021-03-07,3193000,active
STF036,Wahyu Prasetyo,Kasir,OUT006,2019-01-23,3184000,active
STF037,Mira Lestari,Supervisor,OUT007,2023-10-08,4948000,active
STF038,Aldo Sutrisno,Kasir,OUT007,2024-03-17,2825000,active
STF039,Diana Permata,Barista,OUT007,2020-05-12,3267000,active
STF040,Galih Putri,Kasir,OUT007,2022-07-23,3186000,active
STF041,Diah Kartika,Manager,OUT007,2024-08-29,7747000,active
STF042,Wulan Nugroho,Barista,OUT007,2020-10-13,3286000,active
STF043,Iqbal Sari,Barista,OUT008,2022-02-09,3333000,active
STF044,Wahyu Hartono,Barista,OUT008,2023-12-07,2879000,active
STF045,Fitri Hartono,Barista,OUT008,2022-10-07,3127000,active
STF046,Rina Prasetyo,Kasir,OUT008,2020-09-09,2918000,active
STF047,Rudi Saputra,Supervisor,OUT008,2021-05-26,4631000,active
STF048,Andi Astuti,Barista,OUT008,2024-03-23,3225000,active
STF049,Hafiz Indah,Barista,OUT009,2023-05-15,3398000,resigned
STF050,Siti Permata,Manager,OUT009,2023-04-08,7953000,active
STF051,Reza Marlina,Kasir,OUT009,2023-05-17,3014000,active
STF052,Bella Astuti,Barista,OUT009,2021-06-22,3299000,resigned
STF053,Dimas Handayani,Barista,OUT009,2019-04-29,3198000,active
STF054,Tegar Suryani,Kasir,OUT009,2023-07-15,3170000,resigned
STF055,Galih Wibowo,Barista,OUT010,2020-06-06,3437000,active
STF056,Diana Pratama,Barista,OUT010,2019-04-22,2885000,active
STF057,Lina Permata,Manager,OUT010,2024-03-06,6744000,active
STF058,Fajar Setiawan,Barista,OUT010,2021-05-16,3265000,active
STF059,Iqbal Anggraini,Barista,OUT010,2023-04-02,3084000,active
STF060,Nadia Indah,Supervisor,OUT010,2021-10-30,4667000,active
STF061,Bagas Astuti,Barista,OUT011,2019-08-02,3158000,active
STF062,Eko Ramadhan,Kasir,OUT011,2019-06-14,3186000,active
STF063,Wahyu Wijaya,Kasir,OUT011,2019-03-25,3118000,active
STF064,Rudi Handayani,Kasir,OUT011,2020-04-13,3088000,active
STF065,Anggi Saputra,Supervisor,OUT011,2021-11-15,5255000,active
STF066,Adit Maulana,Supervisor,OUT011,2020-04-14,4835000,terminated
STF067,Maya Susilo,Barista,OUT012,2019-04-16,3119000,resigned
STF068,Diana Pratama,Manager,OUT012,2023-06-13,6812000,active
STF069,Aldo Kartika,Kasir,OUT012,2021-09-21,2852000,active
STF070,Ratna Permata,Barista,OUT012,2020-05-10,3379000,active
STF071,Nisa Astuti,Supervisor,OUT012,2023-10-21,5854000,active
STF072,Surya Hidayat,Manager,OUT012,2022-10-29,6051000,active
STF073,Nadia Handayani,Barista,OUT013,2020-03-08,3243000,active
STF074,Rara Anggraini,Supervisor,OUT013,2024-02-27,5948000,terminated
STF075,Agus Maulana,Barista,OUT013,2024-11-07,3466000,active
STF076,Naufal Wibowo,Barista,OUT013,2024-06-03,3276000,active
STF077,Bagas Susilo,Barista,OUT013,2022-01-04,3130000,active
STF078,Nadia Wibowo,Barista,OUT013,2019-12-21,3085000,active
STF079,Fitri Ramadhan,Kasir,OUT014,2024-03-18,3091000,active
STF080,Citra Setiawan,Barista,OUT014,2019-04-28,3306000,active
STF081,Tika Handayani,Barista,OUT014,2021-05-18,3163000,active
STF082,Ayu Hartono,Barista,OUT014,2022-02-05,3369000,active
STF083,Doni Fauzi,Supervisor,OUT014,2021-09-15,5974000,active
STF084,Yusuf Ramadhan,Barista,OUT014,2021-09-11,3287000,active
STF085,Indah Nugroho,Kasir,OUT015,2019-03-12,2847000,active
STF086,Fajar Saputra,Barista,OUT015,2021-09-23,3113000,active
STF087,Nisa Handayani,Barista,OUT015,2022-11-09,3235000,active
STF088,Wulan Setiawan,Kasir,OUT015,2022-12-12,3159000,active
STF089,Joko Hartono,Manager,OUT015,2021-08-02,6494000,active
STF090,Ayu Lestari,Barista,OUT015,2021-01-28,2996000,active
STF091,Irfan Hartono,Barista,OUT016,2024-11-18,3411000,resigned
STF092,Hendra Kartika,Kasir,OUT016,2021-03-06,2951000,active
STF093,Agus Marlina,Kasir,OUT016,2019-02-27,3162000,active
STF094,Yuni Rahmawati,Kasir,OUT016,2019-08-12,3083000,terminated
STF095,Rudi Hidayat,Supervisor,OUT016,2024-07-03,4710000,terminated
STF096,Vina Marlina,Barista,OUT016,2024-04-06,3290000,active
STF097,Agus Rahmawati,Kasir,OUT017,2021-10-31,3044000,active
STF098,Eko Pratama,Supervisor,OUT017,2024-07-07,4651000,active
STF099,Salma Rahmawati,Barista,OUT017,2020-09-13,2952000,active
STF100,Ratna Fauzi,Manager,OUT017,2021-10-13,6485000,active
STF101,Putri Wulandari,Supervisor,OUT017,2021-07-13,5570000,active
STF102,Faisal Nugroho,Supervisor,OUT017,2022-05-02,5705000,active
STF103,Ratna Susilo,Barista,OUT018,2019-09-04,3424000,resigned
